CC(=O)Oc1ccccc1C(=O)O	ZINC000000000053
NC[C@H](CC(=O)O)c1ccc(Cl)cc1	ZINC000000000061
C[C@@H](C[N+](C)(C)C)OC(N)=O	ZINC000000000083
CN(C)CC[C@@H](c1ccc(Br)cc1)c1ccccn1	ZINC000000000096
CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1	ZINC000000000122
CC(C)(C)NC[C@@H](O)COc1cccc2c1CCC(=O)N2	ZINC000000000128
CN(C)CCOC(=O)[C@H](c1ccccc1)C1(O)CCCC1	ZINC000000000196
CCN(CC)[C@@H](C)C(=O)c1ccccc1	ZINC000000000215
CN(C)CCO[C@@](C)(c1ccccc1)c1ccccn1	ZINC000000000242
COC(=O)CCc1ccc(OC[C@H](O)CNC(C)C)cc1	ZINC000000000257
CCN1C(=O)N[C@H](c2ccccc2)C1=O	ZINC000000000271
C[C@H](C(=O)O)c1cccc(Oc2ccccc2)c1	ZINC000000000301
C[C@H](C(=O)O)c1ccc(-c2ccccc2)c(F)c1	ZINC000000000323
C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1	ZINC000000000346
CN1[C@H]2CCC[C@@H]1CC(NC(=O)c1nn(C)c3ccccc13)C2	ZINC000000000347
COc1ccccc1OC[C@H](O)CO	ZINC000000000353
C[C@@H](N)Cc1ccc(O)cc1	ZINC000000000373
C[C@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(C(N)=O)c1	ZINC000000000416
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@H]1O	ZINC000000000431
C[N+]1(C)CCC[C@H](OC(=O)C(O)(c2ccccc2)c2ccccc2)C1	ZINC000000000449
Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C	ZINC000000000456
CC(C)NC[C@@H](O)c1cc(O)cc(O)c1	ZINC000000000469
Cc1cc(C)cc(OC[C@H]2CNC(=O)O2)c1	ZINC000000000471
COC(=O)c1ccccc1O	ZINC000000000490
CC(=O)Oc1c(C)cc(OC[C@H](O)CNC(C)C)c(C)c1C	ZINC000000000494
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN	ZINC000000000506
COc1ccc(OC)c([C@H](O)CNC(=O)CN)c1	ZINC000000000507
CN1CCN2c3ncccc3Cc3ccccc3[C@@H]2C1	ZINC000000000509
Cc1ccccc1[C@H](OCCN(C)C)c1ccccc1	ZINC000000000565
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=N[C@H]1O	ZINC000000000575
CC(C)=CCN1CC[C@@]2(C)c3cc(O)ccc3C[C@@H]1[C@@H]2C	ZINC000000000596
CN(C)CC[C@@H](c1ccccc1)c1ccccn1	ZINC000000000607
O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3[C@@H]2C1	ZINC000000000655
C[C@](N)(Cc1ccc(O)cc1)C(=O)O	ZINC000000000693
Cc1ncc([N+](=O)[O-])n1C[C@@H](C)O	ZINC000000000711
CN1C(=O)[C@H](O)N=C(c2ccccc2)c2cc(Cl)ccc21	ZINC000000000740
CC(C)(C)NC[C@H](O)c1cc(O)cc(O)c1	ZINC000000000746
COc1cc2c(cc1OC)[C@H]1CC(=O)[C@H](CC(C)C)CN1CC2	ZINC000000000751
C[C@@H](c1cc2ccccc2s1)N(O)C(N)=O	ZINC000000000850
COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1	ZINC000000000853
COc1ccc(C[C@H](C)NC[C@@H](O)c2ccc(O)c(NC=O)c2)cc1	ZINC000000000856
Nc1ncnc2[nH]cnc12	ZINC000000000882
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2	ZINC000000000903
CN(C)c1nc(N(C)C)nc(N(C)C)n1	ZINC000000000905
Nc1ccc(C(=O)O)c(O)c1	ZINC000000000922
Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2	ZINC000000000931
CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1	ZINC000000000941
COc1ccc(C(=O)CC(=O)c2ccc(C(C)(C)C)cc2)cc1	ZINC000000000973
O=C(O)c1ccccc1	ZINC000000001011
