AATS0p,AATS1p,nAtomP,SaasC,WTPT-4,BCUTc-1h,GGI4,maxaaCH,SpAD_Dt,SpMax_Dt,EE_Dt,ETA_BetaP_ns,BCUTw-1h,BCUTc-1l,naAromAtom,SpDiam_Dt,MLFER_E,SPC-6,GATS1p,SaaCH,R_TpiPCTPC,AATS5p,minHaaCH,AATSC0i,maxaasC,ATS0p,Mp,MWC2,Zagreb,nAromBond,SPC-5,SP-2,ETA_dBetaP,JGI5,ETA_Eta_R,JGT,GGI7,ATS3v,minaasC,AATS6p,minHother,SPC-4,ATS8p,ATS8v,BCUTp-1h,AATS2p,ETA_BetaP,ATS1v,ATS3p,ETA_Eta_B_RC,AATS8p,ASP-5,ETA_EtaP_B_RC,ATS2m,nHaaCH,naaCH,ETA_Alpha,ETA_dBeta,SpMax8_Bhp,SpMAD_Dt,SpMax1_Bhi,SRW2,nBonds,TIC3,MW,JGI2,VPC-6,hmin,TWC,GGI3,ATS6p,AATS5v,ETA_Shape_Y,ZMIC0,ATS3e,ATS2v,ASP-7,ATS4p,SRW4,MDEO-12,AATS4p,ETA_EtaP_F_L,ATS4v,SpMin8_Bhp,maxHaaCH,SHaaCH,SpMax4_Bhv,SpMin1_Bhp,ATS3s,VPC-4,SpMax2_Bhm,GGI8,GATS1m,ECCEN,VP-0,ATS1e,ATS6v,AATS7p,JGI3,Sp,minHCsats,GGI5,ATS3i,ZMIC4,ATS0v,VP-6,ATS4e,MWC10,SpDiam_D,AATSC1e,ATS0e,Sv,SpMax1_Bhe,SpMax4_Bhi,AATS6e,maxdO,VR3_D,VR3_Dzs,ATS5p,Mv,ASP-1,SpAD_Dzm,SpMax_Dzm,SpMax_DzZ,EE_DzZ,SpAD_DzZ,SpAbs_Dzm,EE_Dzm,ATS5v,ATS5e,SpMin4_Bhi,WTPT-1,VR3_Dzp,AATS3p,Spe,McGowan_Volume,SC-3,naasC,ATS7p,AATS0v,ATS4s,Sare,MDEC-33,ATS3m,VR3_Dzi,VP-3,minaaCH,SpMax1_Bhm,TIC4,VPC-5,ETA_Eta_R_L,WPOL,MATS1e,VP-5,GGI9,ATSC1v,TIC5,GATS1e,VP-2,ETA_Eta_L,maxHdsCH,MWC3,Kier1,piPC9,SHBa,GATS1v,VR3_Dt,ATS2p,nBonds2,Sse,ATS1i,ETA_Epsilon_1,nHeavyAtom,VAdjMat,ETA_Eta,nC,ATS7e,apol,SdssC,nBondsM,AATSC2c,AATS6v,ZMIC3,ETA_Beta_ns,CrippenMR,GGI6,ETA_EtaP_F,ETA_EtaP_L,SpMax_D,EE_D,SpAD_D,ETA_Beta_s,minsssCH,SpDiam_Dze,SpDiam_Dzi,ATS2e,SpMAD_D,ATSC1e,ATS6i,CrippenLogP,SP-0,ATS1p,ASP-6,ATS7i,SpMax5_Bhv,AATS8e,SpMax5_Bhp,SpMax5_Bhe,SdsCH,MATS2v,maxHother,SpMax2_Bhe,minHdsCH,SpMax2_Bhi,SpAbs_Dzi,SpAD_Dzi,VR3_Dze,VR3_Dzv,DELS2,ATS8e,Si,nAtom,SpDiam_Dzm,SpMax5_Bhi,SpMax4_Bhe,minHCsatu,mindsCH,EE_Dze,SpMax_Dze,SpAD_Dze,SpAbs_Dze,SpMax1_Bhp,SpMax8_Bhe,AATS1e,SM1_Dze,ATS6e,GGI10,EE_Dzi,SpMax_Dzi,JGI1,VR3_DzZ,VR3_Dzm,ATS8i,SpDiam_DzZ,piPC5,ETA_dEpsilon_B,AATSC2v,SpMax5_Bhs,ATS7v,inhibitor
1.651521,1.940939,13,1.766911,7.1407,0.216053,1.200556,1.841279,471.649373,235.824686,235.824686,0.51,31.973073,-0.311922,9,340.065611,2.564,7.180693,1.180636,3.40477,5.900944,1.257156,0.543969,1.693434,0.981791,75.969983,0.686783,4.890349,132,10,5.513804,11.727888,-0.15,0.02975,43.43832,0.526729,0.283836,20669.72517,0.78512,1.310604,0.543969,3.967409,94.627932,11819.07806,12.238865,1.633323,1.17,12784.64961,158.305019,0.83972,1.100325,0.071672,0.03359,8212.04127,2,2,12.16665,-3.75,2.696603,18.865975,4.055834,4.007333,27,215.819187,383.108582,0.074074,3.112443,-0.063401,127.31298,1.506944,138.924075,153.922953,0.27945,82.929527,900.916552,19013.14749,0.031027,158.727075,5.351858,0,1.311794,0.20494,19937.77494,1.024397,0.688751,1.232721,3.272552,1.98757,310.097222,2.103974,4.320554,0.219711,0.803195,576,14.955162,380.284176,17316.5543,1.219306,0.04186,31.592008,0.402206,0.8925,18726.93233,29.680121,10064.80983,1.928016,917.370876,11.902458,216.925179,0.001416,362.74651,28.997517,4.039029,3.486223,7.712255,11.471294,17.965692,14.362284,152.115847,0.630381,0.438234,211.126213,105.11634,105.106286,105.106286,211.10335,209.529386,105.11634,18624.67725,914.639568,1.515339,50.601594,15.375636,1.364698,45.14902,2.6834,2.870283,2,117.053374,218.800214,298.950617,45.772,5.310871,8273.31453,13.70055,5.682724,1.563492,4.69685,221.328962,2.760558,11.83228,36,0.016431,2.931106,0.181566,89.585718,221.328962,0.627582,7.781736,6.70888,0,5.720312,19.753086,6.808776,42.794115,0.993289,14.62429,142.099082,48,46.783685,7152.845583,0.62246,25,5.643856,22.81318,15,748.054372,54.108653,-0.317552,13,0.002464,163.36372,30.360954,12.75,102.4401,0.727528,0.82501,0.26836,141.082238,141.082238,282.164476,16.5,0.540803,182.816741,180.915781,688.185682,11.286579,0.067952,17357.27824,2.40028,18.026733,93.165054,0.047638,15716.29199,3.0546,7.818656,3.063458,3.253905,0,0.045788,0.688751,3.923472,0,3.884336,229.289587,230.42073,13.708003,14.371328,33.725006,672.404384,352.524834,46,167.813839,3.321485,3.449836,0,0,115.91312,115.91312,231.806698,230.500321,4.047328,2.86357,7.922587,1.589512,817.499078,0.156313,115.125046,115.125046,0.240741,13.586911,13.587079,14440.80449,167.797058,5.758507,0.04777,2.312443,3.635268,14832.15019,1
1.564232,1.864384,13,2.740568,7.507149,0.2163,1.582778,1.848809,804.503307,402.251653,402.251653,0.57353,31.972073,-0.31195,15,591.955949,3.478,10.11733,0.971724,10.204816,5.47589,1.288197,0.520369,1.620465,0.980062,96.982373,0.682405,5.17615,176,16,7.36506,14.635911,-0.08088,0.026623,64.46722,0.446274,0.394948,28508.73344,0.486965,1.27988,0.520369,5.214597,157.26762,20403.37184,12.233959,1.629361,1.22794,17337.67011,211.470299,0.80134,1.238328,0.074475,0.02357,9732.347879,6,6,16.23332,-2.75,2.847544,23.661862,4.055746,4.317488,37,318.895509,480.19436,0.082789,3.665676,-0.072821,148.84904,2.131944,191.98195,167.590426,0.33265,111.130558,1166.566142,25514.24992,0.032109,209.818556,5.631212,0,1.311366,0.23436,27844.73463,1.228597,0.691916,3.385171,3.332416,1.992347,415.685185,2.412199,3.872707,0.203586,0.767791,1140,19.85968,506.339064,24869.29168,1.222915,0.040225,42.309104,0.400492,1.198056,24358.7424,30.731252,13740.58509,2.186895,1227.807246,12.1613,408.244616,-0.005751,479.098189,39.464823,4.038918,3.582815,7.648191,12.541744,20.094019,20.966636,203.535145,0.636529,0.444776,426.387426,212.924218,212.895807,212.895807,426.328541,424.713325,212.924218,26479.28736,1204.812632,1.517148,69.415176,20.344949,1.382159,60.368627,3.5642,2.114361,4,172.431015,221.62234,463.703704,61.184,8.267256,10839.18466,19.802482,7.146529,1.572861,4.320555,328.405284,3.197948,16.45666,53,-0.08181,3.589046,0.244066,123.011269,332.405284,0.752507,9.353999,8.48839,0,6.023448,27.046019,6.930506,47.994125,0.943361,20.658561,185.747146,65,62.477422,9658.63633,0.59946,34,6.087463,31.34958,24,1065.44743,72.816204,-0.659878,19,0.001423,165.795278,32.240401,19.5,136.3318,0.889161,0.97405,0.24966,259.987415,259.987415,519.974829,22.25,0.524244,350.418723,341.526557,881.24178,15.293377,-0.373819,24328.52477,2.94998,24.078775,121.184973,0.048776,22864.90141,3.271638,7.697086,3.259728,3.45451,0,0.042583,0.691916,3.91142,0,3.929096,425.308079,426.776914,19.839345,20.143017,40.341573,977.529922,472.708002,62,342.739219,3.504913,3.530399,0,0,218.524245,218.524245,437.08831,435.653813,4.047301,3.044864,7.789832,1.658418,1147.228634,0.180902,213.290184,213.290184,0.175676,19.85551,19.855834,20594.14027,342.693945,6.108553,0.05516,2.130255,3.813593,22272.17143,1
1.644847,1.91911,13,3.29956,10.386492,0.280693,2.020556,1.853018,818.901782,409.450891,409.450891,0.52857,31.973792,-0.308883,14,607.313632,3.2,11.161378,0.941142,7.000802,5.21006,1.374836,0.506654,1.629605,0.986611,105.27019,0.691664,5.231109,186,15,8.597969,16.258467,-0.12143,0.026006,68.47479,0.535229,0.480017,29354.85608,0.723608,1.424573,0.506654,5.778154,160.334495,20646.53248,12.235525,1.676594,1.17857,18025.57401,220.623335,1.15489,1.314217,0.072364,0.033,11400.78812,4,4,16.99998,-4.25,2.824624,23.397194,4.055739,4.343805,38,317.206012,515.166096,0.080808,4.552456,-0.129984,151.447327,2.381944,207.987714,174.174677,0.31765,114.476096,1213.040366,26986.01035,0.030864,219.735333,5.693732,0.5,1.25563,0.21518,28509.88158,1.228597,0.68997,2.258357,3.458284,1.98694,409.444444,3.107196,4.241977,0.261802,0.744683,1184,21.630866,523.521128,26022.84252,1.273962,0.045807,44.266465,0.43472,1.170278,24586.23981,33.400752,14341.52268,2.43049,1325.70949,12.24267,438.747436,-0.005148,497.710582,40.879627,4.038917,3.648703,7.706261,12.594301,22.178954,20.737655,214.474391,0.638744,0.436926,435.56775,217.262008,217.229055,217.229055,435.499153,433.930966,217.262008,27171.24957,1204.715032,1.528561,70.925733,21.107285,1.414252,62.4,3.7296,3.675021,4,179.628648,224.086292,473.634259,63.212,8.267256,12200.68024,21.84596,7.916157,1.577819,4.320556,324.715787,4.054119,16.60311,52,-0.065548,3.914997,0.282199,107.376651,324.715787,0.749406,11.663306,9.07189,0,6.070738,28.019391,6.911634,49.225722,0.950139,21.389534,199.514741,67,64.665696,9853.129584,0.60625,35,6.129283,35.94358,24,1067.291386,76.084997,-0.62668,18,0.001088,178.238647,34.13421,18.5,141.7941,1.031383,0.92946,0.2592,278.233936,278.233936,556.467872,22.75,0.54287,373.394087,371.381342,925.714724,15.899082,-0.344885,23117.05756,4.74417,25.164561,128.580369,0.048104,22637.64632,3.293826,7.791986,3.282534,3.471981,0,0.146318,0.68997,3.893073,0,3.885535,463.432645,464.701632,21.107117,22.020808,43.87895,950.622322,486.505849,64,350.347137,3.518954,3.614916,0,0,232.320775,232.320775,464.964436,463.546545,4.047302,3.00859,7.813748,1.838006,1125.114064,0.185797,231.91401,231.91401,0.236842,20.580468,20.580851,19618.73427,350.297256,6.024658,0.04836,7.505205,3.667506,22740.29378,1
1.676701,1.939955,13,3.479505,7.496561,0.220315,1.700556,1.855706,753.305754,376.652877,376.652877,0.56061,31.973074,-0.311949,14,554.408754,3.458,9.728203,0.887285,7.092087,5.336451,1.352267,0.496858,1.698993,0.993207,98.925348,0.699103,5.153292,172,15,7.334476,14.282358,-0.09848,0.025671,61.54599,0.458149,0.355017,26794.95037,0.789595,1.351396,0.496858,5.214597,149.622578,19036.09649,12.235524,1.713032,1.2197,16843.12167,202.296951,0.80134,1.335916,0.073045,0.02428,10502.88956,4,4,16.06665,-3.25,2.824624,22.827447,4.055739,4.290459,36,296.811277,486.150781,0.084444,4.114026,-0.075066,146.761827,2.006944,183.789917,169.550338,0.3361,108.222256,1098.504018,24948.66995,0.031527,201.66477,5.609472,0,1.371869,0.22864,26308.90927,1.228597,0.68956,2.230445,3.315341,1.98694,364.296296,2.849356,4.242045,0.21242,0.73995,1106,19.929724,485.722096,23287.54782,1.286996,0.040139,41.247077,0.385526,1.0525,22799.53111,32.980404,13428.16104,2.417825,1130.852898,12.164391,392.487205,-0.006857,459.324078,38.11005,4.038917,3.572807,7.681008,12.487346,19.466441,19.208457,198.783271,0.645933,0.443242,392.692521,195.965572,195.942878,195.942878,392.643137,390.90643,195.965572,24923.89971,1121.923956,1.526585,67.322219,19.507035,1.414664,57.654902,3.4889,2.114361,4,160.87447,227.59595,420.944444,58.4,8.267256,11576.33307,19.147013,7.895943,1.58086,4.320556,304.321052,3.727778,15.95666,50,-0.093506,3.852678,0.242199,151.382137,307.566165,0.760157,10.020868,8.41152,0,6.003887,26.074074,6.886671,46.312801,0.905844,20.796849,186.720469,62,59.666424,9205.321807,0.61243,33,6.044394,30.67101,22,955.21945,70.862618,-0.325638,18,0.000708,171.231969,33.608601,18.5,134.2088,0.879456,0.93561,0.25489,249.696894,249.696894,499.393788,21.75,0.560063,335.868954,330.797936,847.54836,15.133145,-0.425127,21885.7742,3.01148,23.371668,120.277184,0.048646,20212.51369,3.262223,7.818615,3.251604,3.448379,0,0.080548,0.68956,3.89292,0,3.890976,411.805294,413.191405,19.173247,19.424232,39.762522,875.684858,449.140651,59,316.075953,3.494779,3.517644,0,0,209.327203,209.327203,418.679658,417.188365,4.047302,3.002212,7.834227,1.729775,1044.617152,0.169268,206.495349,206.495349,0.180556,19.122884,19.12307,18095.40948,316.039685,6.010041,0.05281,4.09924,3.675833,20584.29883,1
1.741494,1.988858,13,2.926708,9.802506,0.277582,1.700556,1.842052,683.819154,341.909577,341.909577,0.59677,31.973791,-0.33054,14,500.172474,3.293,9.281903,0.825719,6.670392,5.462674,1.308517,0.528905,1.720924,0.975911,90.557687,0.712928,5.105945,164,15,7.000148,13.760416,-0.06452,0.026284,56.76345,0.47267,0.323767,24751.42745,0.459789,1.328943,0.528905,5.234817,134.437773,17070.49642,12.235332,1.804539,1.25806,15501.67789,184.919998,0.83934,1.371814,0.072886,0.02708,10141.23839,4,4,14.99998,-2,2.767927,22.058682,4.055739,4.234107,34,260.91309,459.103496,0.083333,3.840913,-0.067334,142.399073,1.881944,158.144197,166.064545,0.36,100.981419,976.07533,23186.10761,0.031467,180.73951,5.56452,0,1.358944,0.23901,23783.93233,1.183439,0.69315,2.31747,3.297675,1.98694,336.398148,2.794231,4.240512,0.21242,0.718103,948,18.169831,436.278176,20486.68074,1.314518,0.040041,37.072247,0.43472,0.9725,19841.16154,30.983391,12398.78512,2.251034,1026.650812,12.128095,344.42002,-0.011374,413.800806,34.712316,4.038916,3.527846,7.770222,12.268251,18.663226,18.511574,172.724237,0.667545,0.438786,342.602279,170.851375,170.830606,170.830606,342.558668,341.109152,170.851375,21920.51995,1007.189582,1.508804,63.32279,19.05675,1.467619,51.498039,3.166,2.211992,4,141.967902,238.438175,390.638889,52.172,8.267256,11096.62333,20.593332,7.534828,1.565458,4.320556,268.422865,3.549018,14.91866,47,-0.12562,3.598899,0.242199,192.589901,270.422865,0.797729,9.466567,7.50926,0,5.958425,24.134948,6.868117,51.05702,0.835281,18.961139,171.431251,55,53.114348,8126.484535,0.64615,31,5.954196,27.14258,20,833.678798,63.710653,-1.30417,18,0.001214,172.156981,31.497766,18.5,123.5849,0.783084,0.95551,0.24223,219.163432,219.163432,438.326865,20.5,0.53107,293.321385,289.079277,748.043776,14.139576,-0.625589,19309.0241,3.48707,21.957455,109.387198,0.049117,17443.25464,3.200647,7.845526,3.175299,3.406512,0,0.06892,0.69315,3.885595,0,3.879284,359.998843,361.219315,20.443061,19.113814,42.469543,768.861582,394.392828,52,277.189631,3.444865,3.483152,0,0,182.160624,182.160624,364.589896,363.226214,4.047302,2.981538,7.93233,1.838006,924.656436,0.169268,180.197169,180.197169,0.191176,19.49069,19.489465,15683.49081,277.155664,5.991465,0.0649,3.426177,3.976247,18325.76035,1
1.670721,1.906688,13,3.413486,7.496561,0.220341,1.700556,1.84529,753.305754,376.652877,376.652877,0.56061,31.973074,-0.308593,14,554.408754,3.589,9.728203,0.910008,7.044043,5.336451,1.341136,0.507062,1.73387,0.96654,96.901835,0.698388,5.153292,172,15,7.334476,14.282358,-0.12121,0.025671,61.54599,0.458149,0.355017,25942.22299,0.779178,1.319189,0.507062,5.214597,140.881759,18167.46243,12.225055,1.681544,1.24242,16420.8655,192.754208,0.80134,1.341731,0.073045,0.02428,10550.56197,4,4,15.96665,-4,2.824624,22.827447,4.05535,4.290459,36,289.498235,487.14603,0.084444,3.933641,-0.100035,146.761827,2.006944,174.132888,168.801124,0.33194,108.653563,1046.669458,24130.31789,0.031527,195.246276,5.609472,0,1.404649,0.2458,25715.69097,1.228597,0.699764,2.266478,3.312769,1.982608,360.796296,2.751753,4.242042,0.21242,0.73112,1106,19.799588,482.295088,22338.21351,1.237264,0.040139,40.506482,0.388998,1.0525,21592.93253,33.390004,13216.87456,2.209616,1077.60605,12.164391,392.487205,-0.008423,455.266734,37.597099,4.03829,3.572777,7.719485,12.468827,19.466441,19.58479,193.123629,0.648226,0.443242,383.478671,191.379566,191.345393,191.345393,383.406945,381.753692,191.379566,24307.36191,1106.498548,1.526224,67.322219,19.167699,1.438464,56.984314,3.4478,2.114361,4,148.471693,227.877148,413.333333,57.748,6.722099,11601.90318,19.435295,7.529148,1.567254,4.32054,297.00801,3.592819,15.95666,50,-0.10958,3.568151,0.242199,79.194644,300.253123,0.797469,9.630458,7.84515,0,6.003887,26.074074,6.886671,48.490141,0.914089,20.796849,178.243704,61,58.885652,9162.79117,0.62471,33,6.044394,28.97108,21,927.211642,69.535825,-0.368766,18,-0.000209,169.22889,34.022229,18.5,133.3078,0.879456,0.98712,0.23773,249.696894,249.696894,499.393788,22.5,0,327.395383,317.232622,836.853384,15.133145,-0.51381,21375.1288,1.52698,23.371668,116.30794,0.048646,19755.46082,3.250626,7.907442,3.240204,3.443265,0,0.136261,0.699764,3.892454,0,3.890322,397.362331,398.908263,19.319311,19.184793,40.017005,830.281402,442.958231,58,307.399647,3.492101,3.517531,0,0,204.824381,204.824381,409.732246,408.202216,4.046814,3.000222,7.906477,1.870038,1018.971968,0.169268,199.273417,199.273417,0.180556,19.238752,19.238601,17078.20796,307.341681,6.010041,0.05567,6.801684,3.664128,19424.42852,1
1.479696,1.778657,13,1.796209,7.788522,0.337895,1.280556,1.856492,559.145006,279.572503,279.572503,0.42857,31.972072,-0.297219,9,409.031019,2.449,8.254973,1.092322,3.437631,5.627113,1.208093,0.543669,1.549719,1.000048,81.38326,0.659112,4.990433,146,10,6.662395,13.075859,-0.23214,0.027045,50.77747,0.538283,0.386267,23954.0188,0.79616,1.23325,0.543669,4.178243,122.396975,15681.90421,12.231187,1.522051,1.08929,14370.31126,181.698889,0.94588,1.165685,0.072667,0.03378,8570.116471,2,2,13.33332,-6.5,2.767175,19.969465,4.05572,4.110874,30,253.180797,405.183461,0.072351,3.322105,-0.068018,134.032206,2.006944,152.922968,154.776765,0.2925,92.177369,1057.705666,21398.78742,0.030977,180.800116,5.451038,0.377964,1.158975,0.1956,23006.54263,1.113738,0.688573,1.232241,3.290787,1.987056,340.921296,2.247728,3.681863,0.285722,0.800795,739,17.343172,445.309556,19504.12553,1.117808,0.050174,36.251144,0.420076,0.8925,21897.85807,31.254583,11348.60267,1.859543,1168.942766,11.9636,281.779558,-0.005145,424.475509,33.435945,4.038905,3.521356,7.596115,11.732542,19.958543,17.786318,164.300677,0.607926,0.440872,293.72244,146.487841,146.455332,146.455332,293.65659,292.521018,146.487841,21049.64001,1054.994752,1.516349,56.425514,16.975612,1.326269,53.313725,3.0405,3.158958,2,134.136912,206.33823,378.800926,54.076,5.425215,8852.861819,15.928007,5.804911,1.581139,4.320555,258.690572,3.052295,13.22612,40,-0.0683,2.940483,0.195941,16.597745,258.690572,0.806098,9.086508,7.74938,0,5.814131,22.68,6.808776,37.497467,1.058028,17.535466,156.771244,57,55.370357,8526.255739,0.58667,28,5.807355,28.87639,19,911.29709,62.249411,-0.662768,12,0.003662,157.291335,31.899003,12,114.0426,0.686712,0.78218,0.27676,180.774683,180.774683,361.549367,18.5,0.57329,241.168451,237.117049,799.860428,12.912477,-0.293255,20225.45826,3.45167,20.31119,101.38344,0.047969,19851.23019,3.175175,7.679952,3.158598,3.386702,0,0.126702,0.688573,3.763766,0,3.81296,298.607096,299.720489,15.999856,16.228753,31.204347,806.394958,422.148695,55,234.298334,3.441371,3.469701,0,0,151.52259,151.52259,303.354387,302.26999,4.0473,2.981538,7.812448,1.518155,941.918258,0.160292,149.458191,149.458191,0.25,15.789257,15.789443,17329.87975,234.247522,5.764799,0.0364,6.311938,3.613011,17111.48213,1
1.764947,2.009585,13,2.895521,4.967107,0.218918,1.290556,2.213774,587.861072,293.930536,293.930536,0.60714,31.973074,-0.311933,14,424.779838,3.173,7.98496,0.834196,9.688758,5.614187,1.31517,0.382878,1.748863,1.062745,86.482379,0.716567,5.003946,148,15,6.058431,12.227723,-0.05357,0.022736,48.47647,0.413079,0.282951,22529.29177,0.80986,1.337973,0.382878,4.237629,125.048645,15515.07651,12.234927,1.784738,1.26786,14505.42497,171.921763,0.64386,1.389429,0.073503,0.023,9003.922108,5,5,13.83332,-1.5,2.767233,20.995038,4.055736,4.143135,31,243.611007,415.113667,0.077519,3.411509,-0.072995,135.37288,1.534722,151.190945,163.485733,0.31807,92.219889,916.56407,21574.20182,0.031134,168.921083,5.459586,0,1.351369,0.23632,21765.61865,1.136801,0.686314,2.508082,3.290522,1.98694,291.083333,2.383975,4.202414,0.163037,0.722916,769,16.89172,406.316356,19056.7298,1.31312,0.037432,35.111768,0.409134,0.750278,18998.45327,28.636757,11542.48666,2.067817,951.968712,12.004636,279.031634,-0.005899,379.556858,32.282717,4.038914,3.514997,7.610204,12.086362,17.502088,16.658093,164.39622,0.658831,0.439168,284.460844,141.863461,141.845901,141.845901,284.421991,283.083913,141.863461,20435.71663,946.171158,1.507826,57.584961,17.481548,1.432681,47.8,2.9507,1.711992,3,133.938227,235.560952,328.712963,48.372,6.252162,9382.800302,16.061102,7.035844,1.597432,4.320556,249.120782,3.142385,13.61414,41,-0.090104,3.272177,0.162199,146.374647,249.120782,0.769458,8.838736,6.99727,0,5.855072,21.240375,6.842029,31.790078,0.861247,16.374959,162.411166,52,49.453023,7660.941793,0.61156,28,5.807355,23.95515,19,775.697458,60.346653,-0.141917,17,0.0006,168.643627,29.305669,17,116.2016,0.701451,0.87576,0.2499,178.747653,178.747653,357.495306,18.5,0.63331,238.933955,234.034746,706.628398,12.76769,-0.306746,18262.35242,3.26178,19.509861,104.498395,0.048473,16473.29242,3.16782,7.731687,3.155728,3.372962,0,0.034629,0.686314,3.842827,0,3.851062,292.389162,293.397118,16.105072,17.085094,28.710487,695.851826,371.341092,49,228.957361,3.429084,3.468702,0,0,149.213944,149.213944,298.471139,297.350509,4.047302,2.981538,7.813776,1.341017,859.953104,0.127946,146.588213,146.588213,0.16129,15.8843,15.8846,14387.94524,228.928437,5.86576,0.06129,1.791365,3.61359,16911.20825,1
1.495186,1.812387,13,1.824475,4.896692,0.216001,1.280556,1.865979,525.680681,262.84034,262.84034,0.44444,31.972072,-0.311932,9,383.145033,2.548,7.954273,1.049351,3.458305,5.675847,1.23413,0.538534,1.566344,1.017785,80.740056,0.662424,4.962845,142,10,6.19436,12.472976,-0.2037,0.026155,48.74647,0.540649,0.386267,24378.96512,0.806691,1.19528,0.538534,5.452517,131.677184,16383.87373,12.233339,1.568451,1.09259,14188.36916,186.922192,0.91901,1.219233,0.072369,0.03404,8162.488818,2,2,12.99999,-5.5,2.761679,19.469655,4.055733,4.077537,29,245.969938,389.188546,0.089947,3.467434,-0.077967,131.999232,1.631944,155.386392,152.343074,0.3,89.594034,1046.664606,21515.52389,0.031081,183.075361,5.42495,0,1.123162,0.18932,22886.25209,1.087932,0.682496,1.22103,3.279345,1.987675,353.921296,2.76161,3.693276,0.220214,0.818382,670,16.934924,432.782304,19405.18688,1.176802,0.039804,35.770905,0.36757,0.836944,21804.31205,30.79549,11132.21189,1.885882,1230.336254,11.971166,256.68279,-0.003833,411.123793,32.721146,4.03891,3.497452,7.48668,11.960667,15.394299,15.844252,167.841686,0.605947,0.43976,272.775544,136.128429,136.110373,136.110373,272.737447,271.513052,136.128429,20718.65809,1012.146148,1.516087,54.427769,16.116406,1.354509,51.964706,2.9818,2.879773,2,137.68586,206.152072,396.300926,52.676,5.425215,9052.77468,16.709339,6.103433,1.592326,4.320555,251.479713,3.200071,12.75299,41,-0.062019,3.000836,0.208441,63.806964,248.2346,0.765946,9.16374,7.64137,0,5.802118,21.702735,6.806566,32.697819,1.046962,15.183805,159.98196,56,54.039694,8346.363438,0.57037,27,5.754888,28.20907,19,875.966198,61.447411,-0.186086,12,0.001141,149.270668,31.444,12,112.0141,0.809161,0.76064,0.28301,165.173738,165.173738,330.347476,17.5,0.624523,223.525033,218.149364,778.621824,12.235092,-0.214628,21371.51801,2.93258,19.604084,101.49366,0.047214,19184.1895,3.11228,7.575744,3.111389,3.317334,0,0.149802,0.682496,3.775418,0,3.823164,274.996766,276.071857,16.612298,16.085046,28.621514,818.180302,413.994174,54,216.829901,3.393041,3.455236,0,0,141.029781,141.029781,282.10632,281.053571,4.0473,2.964653,7.728255,1.269661,973.268382,0.156313,137.935428,137.935428,0.241379,15.441022,15.441461,17393.23314,216.80085,5.761658,0.03489,7.587261,3.461582,17448.51931,1
1.556703,1.831496,13,2.674549,7.507149,0.216305,1.582778,1.838392,804.503307,402.251653,402.251653,0.57353,31.972073,-0.308594,15,591.955949,3.609,10.11733,1.000421,10.134936,5.47589,1.276616,0.528181,1.650848,0.953395,94.95886,0.681451,5.17615,176,16,7.36506,14.635911,-0.10294,0.026623,64.46722,0.446274,0.394948,27656.00606,0.473628,1.253603,0.528181,5.214597,147.130288,19401.14752,12.22349,1.59703,1.25,16915.41393,201.927556,0.80134,1.236389,0.074475,0.02357,9780.020291,6,6,16.13332,-3.5,2.836425,23.661862,4.055356,4.317488,37,311.510315,481.189609,0.082789,3.485292,-0.094996,148.84904,2.131944,183.026021,166.856449,0.32851,111.519294,1114.731582,24695.89786,0.032109,203.400062,5.631212,0,1.338158,0.25102,27251.51633,1.228597,0.70212,3.437581,3.331684,1.988809,412.185185,2.314597,3.872593,0.203586,0.755427,1140,19.729543,502.912056,23939.1317,1.179914,0.040225,41.56851,0.403964,1.198056,23152.14382,31.097366,13529.29862,1.983951,1174.560398,12.1613,408.244616,-0.007004,475.040845,38.951872,4.038291,3.582812,7.681431,12.523226,20.094019,21.142731,197.875504,0.638555,0.444776,416.948437,208.19542,208.15517,208.15517,416.866017,415.275032,208.19542,25862.74956,1189.387224,1.509112,69.415176,19.726404,1.402275,59.698039,3.5231,2.114361,4,160.468322,221.791781,456.092593,60.532,6.722099,10864.75476,20.155687,6.779734,1.559255,4.320539,321.02009,3.06299,16.45666,53,-0.09487,3.304519,0.244066,48.960636,325.02009,0.787785,8.963589,7.92202,0,6.023448,27.046019,6.930506,50.157482,0.952296,20.658561,177.270381,64,61.69665,9616.105692,0.61093,34,6.087463,29.63796,23,1039.14775,71.489411,-0.703006,19,0.000565,163.966656,32.619718,19.5,135.4308,0.889161,1.02439,0.233,259.987415,259.987415,519.974829,23,0,341.656027,327.471829,870.546804,15.293377,-0.44823,23820.82675,1.46548,24.078775,117.215728,0.048776,22440.12458,3.258921,7.786876,3.246765,3.449764,0,0.09333,0.70212,3.911115,0,3.928856,410.388414,412.016187,20.056057,19.794439,40.589253,926.63821,466.525581,61,333.824668,3.502801,3.530389,0,0,213.874743,213.874743,427.855572,426.374305,4.046813,3.03815,7.858001,1.798681,1121.488922,0.180902,205.8299,205.8299,0.175676,20.265303,20.264319,19428.88507,333.757085,6.108553,0.05804,4.582628,3.801671,21105.99271,1
